coach,team,first_season,last_season
Ken Whisenhunt,ARI,2009,2012
Bruce Arians,ARI,2013,2017
Steve Wilks,ARI,2018,2018
Kliff Kingsbury,ARI,2019,
Mike Smith,ATL,2009,2014
Dan Quinn,ATL,2015,
John Harbaugh,BAL,2009,
Dick Jauron,BUF,2009,2009
Chan Gailey,BUF,2010,2012
Doug Marrone,BUF,2013,2014
Rex Ryan,BUF,2015,2016
Sean McDermott,BUF,2017,
John Fox,CAR,2009,2010
Ron Rivera,CAR,2011,
Lovie Smith,CHI,2009,2012
Marc Trestman,CHI,2013,2014
John Fox,CHI,2015,2017
Matt Nagy,CHI,2018,
Marvin Lewis,CIN,2009,2018
Zac Taylor,CIN,2019,
Eric Mangini,CLE,2009,2010
Pat Shurmur,CLE,2011,2012
Rob Chudzinski,CLE,2013,2013
Mike Pettine,CLE,2014,2015
Hue Jackson,CLE,2016,2018
Freddie Kitchens,CLE,2019,
Wade Phillips,DAL,2009,2010
Jason Garrett,DAL,2011,
Josh McDaniels,DEN,2009,2010
John Fox,DEN,2011,2014
Gary Kubiak,DEN,2015,2016
Vance Joseph,DEN,2017,2018
Vic Fangio,DEN,2019,
Jim Schwartz,DET,2009,2013
Jim Caldwell,DET,2014,2017
Matt Patricia,DET,2018,
Mike McCarthy,GB,2009,2018
Matt LaFleur,GB,2019,
Gary Kubiak,HOU,2009,2013
Bill O'Brien,HOU,2014,
Jim Caldwell,IND,2009,2011
Bruce Arians,IND,2012,2012
Chuck Pagano,IND,2013,2017
Frank Reich,IND,2018,
Jack Del Rio,JAC,2009,2011
Mike Mularkey,JAC,2012,2012
Gus Bradley,JAC,2013,2016
Doug Marrone,JAC,2017,
Todd Haley,KC,2009,2011
Romeo Crennel,KC,2012,2012
Andy Reid,KC,2013,
Steve Spagnuolo,LA,2009,2011
Jeff Fisher,LA,2012,2016
Sean McVay,LA,2017,
Norv Turner,LAC,2009,2012
Mike McCoy,LAC,2013,2016
Anthony Lynn,LAC,2017,
Tony Sparano,MIA,2009,2011
Joe Philbin,MIA,2012,2014
Dan Campbell,MIA,2015,2015
Adam Gase,MIA,2016,2018
Brian Flores,MIA,2019,
Brad Childress,MIN,2009,2010
Leslie Frazier,MIN,2011,2013
Mike Zimmer,MIN,2014,
Bill Belichick,NE,2009,
Sean Payton,NO,2009,
Tom Coughlin,NYG,2009,2015
Ben McAdoo,NYG,2016,2017
Pat Shurmur,NYG,2018,
Rex Ryan,NYJ,2009,2014
Todd Bowles,NYJ,2015,2018
Adam Gase,NYJ,2019,
Tom Cable,OAK,2009,2010
Hue Jackson,OAK,2011,2011
Dennis Allen,OAK,2012,2013
Tony Sparano,OAK,2014,2014
Jack Del Rio,OAK,2015,2017
Jon Gruden,OAK,2018,
Andy Reid,PHI,2009,2012
Chip Kelly,PHI,2013,2015
Doug Peterson,PHI,2016,
Mike Tomlin,PIT,2009,
Jim L. Mora,SEA,2009,2009
Pete Carroll,SEA,2010,
Mike Singletary,SF,2009,2010
Jim Harbaugh,SF,2011,2014
Jim Tomsula,SF,2015,2015
Chip Kelly,SF,2016,2016
Kyle Shanahan,SF,2017,
Raheem Morris,TB,2009,2011
Greg Schiano,TB,2012,2013
Lovie Smith,TB,2014,2015
Dirk Koetter,TB,2016,2018
Bruce Arians,TB,2019,
Jeff Fisher,TEN,2009,2010
Mike Munchak,TEN,2011,2013
Ken Whisenhunt,TEN,2014,2014
Mike Mularkey,TEN,2015,2017
Mike Vrabel,TEN,2018,
Jim Zorn,WAS,2009,2009
Mike Shanahan,WAS,2010,2013
Jay Gruden,WAS,2014,
